60
User_1 Bot_2 Bot_3 Bot_4 
1 3 0 2 
map2
W W W W 
W L B B 
B U B L 
U L R L 
U L W D 
R L B R 
B L W W 
B L D W 
U L L R 
L W U U 
W R B L 
B R W D 
W R L B 
B U U D 
L B R R 
B U D B 
U W L U 
D U U D 
L W R W 
R R D D 
D D U B 
L D D W 
D L B W 
W D R R 
R U L L 
R R U B 
U W R U 
L R R W 
B D R D 
L D R U 
D R R R 
W W R W 
B R R D 
R L R D 
R U R R 
R R R D 
R W R L 
R W R U 
R B R U 
R D R W 
R W R L 
R L R W 
R W R R 
R W R D 
R R R R 
R B R W 
R U R D 
R B R L 
R B R R 
R W R D 
R U R W 
R U R D 
R D R L 
R U R B 
R B R W 
R L R R 
R W R R 
R U R L 
R W R L 
R W R L 
